6080,643,85.5
7916,13,108.0
9150,934,158.1
3213,419,97.9
8562,888,149.1
5571,956,108.7
3846,627,119.0
1428,256,77.7
242,552,98.5
6441,574,112.1
4192,823,88.4
2558,683,144.4
5677,522,65.4
4724,792,83.8
8701,457,64.0
4649,913,152.2
1556,152,120.1
4443,789,83.2
7944,592,92.3
8071,24,75.1
4622,258,116.1
1634,792,68.3
4233,234,139.9
1163,358,83.4
6672,611,144.9
6593,695,93.8
4097,430,89.9
4396,762,143.2
4015,315,66.4
6320,449,79.5
9379,155,105.3
3963,957,84.4
1874,464,77.7
5637,153,115.0
4520,699,158.2
3886,578,143.7
7006,202,134.7
5971,696,130.5
3925,752,87.9
1089,298,78.0
4281,736,132.9
3508,716,98.1
4413,54,102.3
432,641,150.6
5107,33,97.5
3304,508,135.7
3467,361,93.7
6439,883,122.9
7450,806,121.4
3026,352,62.4
4482,605,87.3
5380,583,137.1
8736,979,125.2
9263,546,106.8
5280,457,87.8
5464,7,148.2
4109,155,94.7
797,201,90.5
6042,49,134.7
4232,797,60.1
3478,642,83.9
6882,616,103.4
7246,385,113.2
679,898,138.8
1327,346,143.5
4381,747,155.3
7436,959,110.7
5350,762,113.8
3598,308,61.6
5663,979,123.5
4494,310,136.5
4487,472,141.0
5880,873,72.2
9331,75,128.0
2676,660,158.7
4371,367,84.7
6831,357,102.5
8287,771,147.4
895,446,136.8
9237,283,79.6
88,748,96.3
4167,100,141.2
5706,387,154.4
541,450,61.9
6956,301,159.7
4006,81,70.9
5057,866,78.0
7012,511,107.6
894,939,133.1
3891,929,108.5
6173,636,85.9
3682,13,86.0
3206,218,98.7
5552,451,91.4
2982,454,128.0
4086,84,130.0
7471,37,82.9
5125,757,123.2
5123,920,86.2
3011,825,139.8
