3750,86,141.4
2605,45,63.9
8595,905,83.7
930,709,103.9
2075,325,91.3
7864,610,116.5
6263,929,124.1
6101,832,112.2
4170,965,89.0
5854,329,86.8
8350,635,104.1
5161,84,102.0
9323,192,114.9
6892,237,73.7
7018,42,141.3
7838,601,159.8
3684,982,95.2
8368,22,78.2
4374,653,67.3
1775,917,94.4
9743,979,122.3
9015,683,122.7
6969,479,134.8
9033,268,79.8
3735,9,124.8
5387,247,80.6
1091,465,67.9
3129,256,76.6
6505,756,61.1
3623,667,113.3
4264,697,147.5
598,924,122.8
6807,394,65.5
5685,9,130.4
5381,787,85.0
2046,167,130.2
9052,971,77.8
7631,1,81.3
7548,64,101.9
5864,702,82.4
372,78,133.2
7957,976,147.1
4153,684,92.9
3083,635,121.4
4278,763,87.7
6789,102,139.9
9677,403,101.9
4463,922,115.7
380,819,93.0
1568,707,119.7
2556,699,98.6
581,742,132.6
1471,462,125.0
1965,317,121.0
7837,19,89.6
2664,15,91.1
829,998,106.4
6023,852,128.9
2473,258,143.9
5970,957,145.6
3769,400,144.6
998,199,68.5
5957,137,60.4
8877,705,143.1
8443,772,137.2
5973,113,66.2
3456,926,139.5
9270,644,120.3
1427,395,72.2
9201,150,105.4
7823,923,63.2
5529,165,140.5
3962,558,75.4
1104,978,138.4
738,321,119.8
2270,99,135.7
4649,547,123.7
4095,81,127.5
1778,545,139.0
1027,101,99.9
4090,95,64.4
2750,525,67.2
7483,730,135.0
3329,739,88.1
6277,200,141.1
2474,978,94.9
426,938,75.6
8016,989,98.0
610,593,138.4
1544,806,123.5
908,754,119.3
6272,257,64.5
7088,198,116.1
370,546,123.8
1221,213,81.1
6649,932,66.0
5690,691,105.8
2976,588,157.7
4439,535,101.0
8331,848,133.5
