3909,710,71.0
3097,41,105.1
5247,749,128.8
6809,27,100.5
5708,188,89.4
9678,902,97.6
477,82,96.1
5159,369,151.5
9183,969,102.0
5432,97,139.0
9177,139,139.7
8821,459,115.8
5352,540,133.5
8672,344,138.6
7086,788,117.6
3577,111,142.3
5548,622,155.8
299,361,154.5
3478,21,63.2
2461,511,142.0
969,577,152.6
5844,705,116.4
3314,63,115.3
4452,622,151.5
4247,281,158.8
6091,471,123.4
566,734,87.3
6063,521,156.7
3017,724,107.4
8183,678,114.4
6336,570,60.9
2375,765,106.1
6415,638,145.2
2737,889,104.2
9884,985,128.7
2577,551,60.3
5980,230,153.0
8350,348,141.7
9865,745,146.2
743,458,65.6
2764,528,132.4
2866,578,88.5
6970,223,90.8
5425,127,99.4
2402,78,88.5
1003,70,121.6
7712,352,152.7
1714,246,119.3
9538,640,155.4
320,288,150.1
2364,803,114.0
6620,685,152.6
2398,117,77.8
2078,811,85.7
7972,822,93.5
3097,576,90.1
7268,367,67.4
344,6,134.3
35,218,159.6
9593,552,97.3
1411,557,115.1
1597,135,73.5
3715,285,129.7
861,253,125.6
1344,536,143.2
8290,319,148.4
7456,992,91.3
1697,553,101.6
1479,196,130.1
3099,214,61.5
8607,499,90.5
8498,791,82.8
5936,27,142.9
6165,736,142.6
1975,1,145.8
3850,593,109.4
3804,987,155.2
5273,524,72.8
8334,107,147.4
6937,615,136.1
5267,514,119.1
8876,242,90.8
649,328,106.8
7277,790,110.5
2881,829,101.5
3887,139,139.6
1236,894,123.0
1226,341,65.5
8796,836,78.5
4486,608,111.0
3163,915,123.1
9804,11,117.0
4969,697,114.1
4589,753,120.6
4065,990,135.2
2684,585,105.8
9293,728,130.9
5331,234,85.1
7,607,135.8
6680,889,86.6
